Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-1A32A-0001_C40JE.2_trimmed_read2	GTEX-1A32A-0001_C40JE.2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2744680.0	0.0	10-76	48.0	96.52114975021048	74.8350678403311	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.3_trimmed_read1	GTEX-1A32A-0001_C40JE.3_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2964469.0	0.0	10-76	48.0	96.49268377146717	74.96535264831577	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.3_trimmed_read2	GTEX-1A32A-0001_C40JE.3_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2964469.0	0.0	10-76	48.0	96.34701461666221	74.56971552072226	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.4_trimmed_read1	GTEX-1A32A-0001_C40JE.4_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2971245.0	0.0	10-76	48.0	96.44558044316567	74.99183675529954	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.4_trimmed_read2	GTEX-1A32A-0001_C40JE.4_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2971245.0	0.0	10-76	48.0	96.52136906070879	74.5801716115635	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.5_trimmed_read1	GTEX-1A32A-0001_C40JE.5_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2982515.0	0.0	10-76	48.0	96.3834491994296	74.9582919113567	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.5_trimmed_read2	GTEX-1A32A-0001_C40JE.5_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2982515.0	0.0	10-76	48.0	96.42724448943561	74.58124167020115	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.6_trimmed_read1	GTEX-1A32A-0001_C40JE.6_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3025732.0	0.0	10-76	48.0	96.48217237997451	74.98291256462899	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.6_trimmed_read2	GTEX-1A32A-0001_C40JE.6_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3025732.0	0.0	10-76	48.0	96.52264565839631	74.54521286088787	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.7_trimmed_read1	GTEX-1A32A-0001_C40JE.7_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3045928.0	0.0	10-76	48.0	96.34849828450339	74.92749336162903	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
