Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-12WSD-0826_H77F4.1_2	GTEX-12WSD-0826_H77F4.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1674539.0	0.0	76.0	49.0	88.8093090018363	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H77F4.2_1	GTEX-12WSD-0826_H77F4.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1752942.0	0.0	76.0	49.0	88.61415434495021	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H77F4.2_2	GTEX-12WSD-0826_H77F4.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1752942.0	0.0	76.0	49.0	88.94557596289296	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C6W.1_1	GTEX-12WSD-0826_H7C6W.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1765189.0	0.0	76.0	49.0	88.46017872834081	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C6W.1_2	GTEX-12WSD-0826_H7C6W.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1765189.0	0.0	76.0	49.0	88.78129892538124	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C6W.2_1	GTEX-12WSD-0826_H7C6W.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1703812.0	0.0	76.0	49.0	88.6383995471334	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C6W.2_2	GTEX-12WSD-0826_H7C6W.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1703812.0	0.0	76.0	49.0	89.05020629562593	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C7M.1_1	GTEX-12WSD-0826_H7C7M.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1514619.0	0.0	76.0	49.0	89.15511686551366	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C7M.1_2	GTEX-12WSD-0826_H7C7M.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1514619.0	0.0	76.0	49.0	89.42120061377067	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C7M.2_1	GTEX-12WSD-0826_H7C7M.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1400270.0	0.0	76.0	49.0	89.51459365761836	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C7M.2_2	GTEX-12WSD-0826_H7C7M.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1400270.0	0.0	76.0	49.0	89.69290858473825	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C86.1_1	GTEX-12WSD-0826_H7C86.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	925874.0	0.0	76.0	49.0	91.39380110296321	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C86.1_2	GTEX-12WSD-0826_H7C86.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	925874.0	0.0	76.0	49.0	91.4044467058624	76.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H7C86.2_1	GTEX-12WSD-0826_H7C86.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	951397.0	0.0	76.0	49.0	91.11576984209535	76.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
